long_hair,forehead_width_cm,forehead_height_cm,nose_wide,nose_long,lips_thin,distance_nose_to_lip_long,gender_Female,gender_Male
1,0.09756097560975618,0.28397147548321156,1,0,1,1,False,True
0,0.6341463414634148,-1.0094177311575365,0,0,1,0,True,False
0,0.09756097560975618,0.6535112488091404,1,1,1,1,False,True
0,0.7317073170731709,0.28397147548321156,0,1,1,1,False,True
1,0.5121951219512195,-0.08556829784271555,0,0,0,0,True,False
1,0.3902439024390243,1.5773606821239614,1,1,1,1,False,True
1,0.9512195121951224,0.4687413621461768,1,1,1,0,False,True
0,0.3902439024390243,-1.3789575044834654,0,0,0,0,True,False
1,0.12195121951219523,-1.0094177311575365,1,0,1,1,True,False
1,0.17073170731707332,-1.0094177311575365,0,0,0,0,True,False
0,0.2682926829268295,-1.0094177311575365,1,1,1,1,False,True
1,1.0,-0.27033818450568076,1,1,1,1,False,True
0,0.8048780487804876,-1.3789575044834654,1,1,1,1,False,True
1,0.75609756097561,1.392590795460998,0,1,1,1,False,True
1,0.6829268292682924,1.023051022135069,0,0,0,0,True,False
0,0.2682926829268295,-1.3789575044834654,1,1,1,1,False,True
1,0.9268292682926829,0.09920158882024802,1,1,1,1,False,True
1,0.6341463414634148,-0.08556829784271555,0,0,0,0,True,False
1,0.12195121951219523,-1.3789575044834654,0,0,0,0,True,False
1,0.7317073170731709,-0.6398779578316095,1,0,1,1,False,True
1,0.7804878048780486,0.6535112488091404,1,1,1,1,False,True
1,0.34146341463414664,1.94690045544989,1,1,1,1,False,True
1,0.3658536585365857,0.8382811354721056,1,0,0,1,True,False
0,0.19512195121951192,0.09920158882024802,1,1,0,1,False,True
0,0.6829268292682924,-1.1941876178205018,0,0,0,0,True,False
1,0.21951219512195141,0.6535112488091404,0,0,0,0,True,False
1,0.6829268292682924,0.4687413621461768,0,0,0,0,True,False
1,0.2682926829268295,-1.3789575044834654,0,0,0,0,True,False
1,1.0,-0.4551080711686443,1,1,1,0,False,True
1,0.9512195121951224,0.6535112488091404,1,1,1,1,False,True
1,0.9512195121951224,-1.3789575044834654,1,1,1,1,False,True
1,0.21951219512195141,1.5773606821239614,1,1,1,1,False,True
1,0.09756097560975618,-1.1941876178205018,1,0,0,0,True,False
1,0.09756097560975618,0.09920158882024802,1,0,0,0,True,False
1,0.31707317073170715,-1.0094177311575365,0,1,1,1,False,True
1,0.6585365853658538,0.28397147548321156,1,1,1,1,False,True
1,0.3658536585365857,0.09920158882024802,0,0,0,0,True,False
1,0.6341463414634148,-1.5637273911464307,1,0,0,0,True,False
0,0.5121951219512195,-1.3789575044834654,0,0,0,0,True,False
0,1.0,0.6535112488091404,1,1,1,1,False,True
1,0.6585365853658538,-0.08556829784271555,0,0,0,0,True,False
1,0.7317073170731709,1.5773606821239614,1,1,1,1,False,True
1,0.19512195121951192,0.28397147548321156,1,1,1,1,False,True
1,0.024390243902439046,0.4687413621461768,0,0,0,0,True,False
0,0.3658536585365857,0.6535112488091404,1,1,1,1,False,True
1,0.17073170731707332,-1.3789575044834654,1,1,1,1,False,True
1,0.5853658536585367,-1.5637273911464307,0,0,0,0,True,False
1,0.5609756097560976,-1.1941876178205018,0,1,1,0,False,True
1,0.024390243902439046,0.6535112488091404,1,0,1,0,True,False
1,0.14634146341463428,-0.8246478444945731,0,1,0,0,True,False
1,0.6585365853658538,-1.0094177311575365,1,1,1,0,False,True
1,0.34146341463414664,0.8382811354721056,0,0,0,1,True,False
1,0.3658536585365857,-1.1941876178205018,0,0,0,0,True,False
1,0.5121951219512195,-1.1941876178205018,0,0,0,0,True,False
1,0.6341463414634148,-1.1941876178205018,1,1,1,1,False,True
1,0.0,-0.6398779578316095,0,0,1,1,True,False
1,0.975609756097561,-1.5637273911464307,1,1,1,0,False,True
1,0.5121951219512195,0.09920158882024802,1,1,1,1,False,True
1,0.6341463414634148,-1.0094177311575365,0,1,0,1,False,True
1,0.6585365853658538,-0.08556829784271555,0,0,0,0,True,False
1,0.4634146341463419,-0.8246478444945731,0,0,1,0,True,False
1,0.4390243902439024,-0.27033818450568076,0,1,1,1,False,True
1,0.12195121951219523,-1.0094177311575365,1,1,0,0,True,False
0,0.7073170731707319,-0.6398779578316095,1,1,1,1,False,True
1,0.6097560975609757,1.023051022135069,0,0,0,0,True,False
1,0.09756097560975618,-1.5637273911464307,0,0,1,1,True,False
1,0.6829268292682924,0.4687413621461768,0,0,0,0,True,False
1,0.0731707317073167,0.4687413621461768,0,1,0,0,True,False
1,0.6829268292682924,-0.27033818450568076,0,0,1,0,True,False
0,0.17073170731707332,0.6535112488091404,0,0,1,1,True,False
1,0.09756097560975618,0.28397147548321156,0,0,0,0,True,False
1,0.9024390243902438,0.09920158882024802,1,1,1,1,False,True
1,0.4390243902439024,0.4687413621461768,1,1,1,1,False,True
1,0.8780487804878048,1.5773606821239614,1,0,0,0,False,True
1,0.6829268292682924,1.023051022135069,0,0,1,1,True,False
0,0.24390243902439046,0.09920158882024802,0,1,0,0,True,False
1,0.6585365853658538,-1.3789575044834654,0,0,0,0,True,False
1,0.6097560975609757,-0.08556829784271555,1,0,1,1,False,True
1,0.09756097560975618,0.09920158882024802,1,1,1,1,False,True
1,0.04878048780487809,2.1316703421128538,0,1,1,1,False,True
1,0.24390243902439046,1.023051022135069,0,0,0,0,True,False
0,0.024390243902439046,-0.08556829784271555,0,0,0,0,True,False
1,0.5609756097560976,1.392590795460998,1,1,1,1,False,True
1,0.19512195121951192,-1.5637273911464307,0,1,0,0,True,False
1,0.5609756097560976,-1.5637273911464307,0,0,0,1,True,False
1,0.2682926829268295,-0.6398779578316095,1,1,0,1,False,True
1,0.12195121951219523,0.09920158882024802,1,1,1,1,False,True
1,0.24390243902439046,0.28397147548321156,0,0,0,0,True,False
1,0.2926829268292681,-0.08556829784271555,0,0,1,1,False,True
1,0.6585365853658538,0.4687413621461768,1,0,1,1,False,True
1,0.21951219512195141,-0.6398779578316095,1,0,0,0,True,False
1,0.3658536585365857,-1.5637273911464307,0,0,0,0,True,False
1,0.4634146341463419,-0.08556829784271555,1,1,1,1,False,True
0,0.3902439024390243,-1.0094177311575365,0,0,0,0,True,False
1,0.19512195121951192,1.023051022135069,1,1,0,1,False,True
1,0.3902439024390243,-1.3789575044834654,0,1,1,1,False,True
1,0.19512195121951192,0.4687413621461768,1,1,1,1,False,True
1,0.9024390243902438,1.5773606821239614,1,1,1,1,False,True
0,0.14634146341463428,0.8382811354721056,0,0,0,0,True,False
0,0.21951219512195141,-0.08556829784271555,0,0,0,0,True,False
1,0.9512195121951224,-0.6398779578316095,0,1,1,1,False,True
1,0.5609756097560976,-1.0094177311575365,1,1,0,1,False,True
1,0.7317073170731709,-0.4551080711686443,1,1,1,1,False,True
1,0.75609756097561,0.6535112488091404,1,1,1,0,False,True
1,0.17073170731707332,1.023051022135069,1,1,1,1,False,True
1,0.09756097560975618,1.023051022135069,1,1,0,1,False,True
0,0.09756097560975618,1.023051022135069,1,0,1,1,True,False
1,0.9512195121951224,1.392590795460998,1,1,1,1,False,True
1,0.8292682926829271,0.28397147548321156,1,1,1,1,False,True
1,0.6097560975609757,-0.8246478444945731,0,1,0,0,True,False
1,1.0,-1.1941876178205018,1,1,1,0,False,True
1,0.2682926829268295,0.4687413621461768,0,1,0,0,True,False
1,0.41463414634146334,1.2078209087980327,1,0,1,1,False,True
1,0.9512195121951224,-1.1941876178205018,1,1,1,0,False,True
1,0.5853658536585367,-1.0094177311575365,0,0,0,0,True,False
1,0.34146341463414664,0.28397147548321156,0,0,0,1,True,False
1,0.3658536585365857,0.8382811354721056,0,0,0,1,True,False
1,0.7073170731707319,0.28397147548321156,0,0,0,0,True,False
1,0.5853658536585367,1.392590795460998,1,1,1,1,False,True
1,0.04878048780487809,-1.5637273911464307,1,1,1,1,False,True
1,0.024390243902439046,0.6535112488091404,0,1,1,0,True,False
1,0.4878048780487805,-1.0094177311575365,0,1,0,0,True,False
1,0.3658536585365857,-1.3789575044834654,0,0,0,0,True,False
1,0.09756097560975618,2.1316703421128538,1,1,1,1,False,True
1,0.2926829268292681,0.8382811354721056,0,1,0,1,False,True
1,0.6341463414634148,0.09920158882024802,0,0,0,0,True,False
1,0.6829268292682924,0.4687413621461768,1,1,1,1,False,True
1,0.17073170731707332,0.4687413621461768,1,1,1,1,False,True
1,0.14634146341463428,1.023051022135069,0,0,0,0,True,False
1,0.21951219512195141,-1.0094177311575365,0,0,0,1,True,False
1,0.31707317073170715,1.5773606821239614,1,1,1,1,False,True
1,0.2682926829268295,-0.27033818450568076,0,1,0,0,True,False
1,0.09756097560975618,-1.0094177311575365,0,1,1,1,False,True
1,0.04878048780487809,-0.08556829784271555,0,0,0,0,True,False
1,0.0731707317073167,0.6535112488091404,1,0,0,0,False,True
1,0.12195121951219523,-1.1941876178205018,0,0,0,0,True,False
1,0.4390243902439024,-0.8246478444945731,1,0,1,1,False,True
1,0.5853658536585367,-1.3789575044834654,1,1,0,0,True,False
1,0.24390243902439046,-0.08556829784271555,1,1,1,1,False,True
1,0.4390243902439024,-0.6398779578316095,1,0,1,1,False,True
1,0.2926829268292681,1.023051022135069,0,0,0,0,True,False
1,0.41463414634146334,0.4687413621461768,1,1,1,1,False,True
1,0.4390243902439024,0.09920158882024802,0,1,1,0,True,False
1,0.31707317073170715,-0.6398779578316095,0,0,0,0,True,False
1,0.6829268292682924,1.023051022135069,1,1,1,1,False,True
1,0.12195121951219523,0.6535112488091404,0,0,0,0,True,False
1,0.6097560975609757,-1.5637273911464307,1,1,1,1,False,True
1,0.12195121951219523,1.5773606821239614,1,1,1,1,False,True
1,0.4878048780487805,0.6535112488091404,0,0,1,0,True,False
1,0.975609756097561,1.2078209087980327,1,1,1,1,False,True
1,0.09756097560975618,-1.3789575044834654,1,0,1,1,False,True
1,0.0731707317073167,-0.8246478444945731,0,0,0,0,True,False
1,0.4878048780487805,0.8382811354721056,1,1,1,1,False,True
0,0.2682926829268295,1.5773606821239614,1,1,0,1,False,True
1,0.4634146341463419,0.8382811354721056,0,0,0,0,True,False
1,0.3658536585365857,0.4687413621461768,0,0,0,0,True,False
1,0.34146341463414664,-0.08556829784271555,1,1,1,1,False,True
